,,,50% Median Rents by Apartment Size,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Studio,1 Bed,2 Bed,3 Bed,4 Bed,,,,,,,,,,,,,1099
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
state,cbsasub18,areaname18,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,,state_alpha,,pop2010,hu2010,cntyname,name,,,,,,
2,NCNTY02016N02016,"Aleutians West Census Area, AK",1135,1338,1779,2230,2738,,AK,Alaska,5561,1929,Aleutians West Census Area,Aleutians West Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02050N02050,"Bethel Census Area, AK",1165,1419,1630,2044,2220,,AK,Alaska,17013,5919,Bethel Census Area,Bethel Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02060N02060,"Bristol Bay Borough, AK",941,1002,1317,1699,1794,,AK,Alaska,997,969,Bristol Bay Borough,Bristol Bay Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02068N02068,"Denali Borough, AK",1086,1178,1520,1906,2339,,AK,Alaska,1826,1771,Denali Borough,Denali Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02070N02070,"Dillingham Census Area, AK",1143,1181,1356,1878,2087,,AK,Alaska,4847,2427,Dillingham Census Area,Dillingham Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02100N02100,"Haines Borough, AK",725,883,1014,1284,1560,,AK,Alaska,2508,1631,Haines Borough,Haines Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",556,675,871,1182,1186,,AK,Alaska,2150,1771,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02110N02110,"Juneau City and Borough, AK",966,1138,1514,2165,2667,,AK,Alaska,31275,13055,Juneau City and Borough,Juneau City and Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",868,874,1154,1496,1689,,AK,Alaska,55400,30578,Kenai Peninsula Borough,Kenai Peninsula Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",864,1019,1355,1780,2387,,AK,Alaska,13477,6166,Ketchikan Gateway Borough,Ketchikan Gateway Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02150N02150,"Kodiak Island Borough, AK",1065,1095,1258,1830,2004,,AK,Alaska,13592,5303,Kodiak Island Borough,Kodiak Island Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02158N02158,Kusilvak Census Area,710,866,994,1246,1354,,AK,Alaska,7459,2183,Kusilvak Census Area,Kusilvak Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",677,809,947,1187,1457,,AK,Alaska,1631,1502,Lake and Peninsula Borough,Lake and Peninsula Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02180N02180,"Nome Census Area, AK",1077,1426,1689,2118,2300,,AK,Alaska,9492,4008,Nome Census Area,Nome Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02185N02185,"North Slope Borough, AK",1025,1137,1306,1768,2258,,AK,Alaska,9430,2500,North Slope Borough,North Slope Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02188N02188,"Northwest Arctic Borough, AK",1209,1243,1428,1938,1945,,AK,Alaska,7523,2707,Northwest Arctic Borough,Northwest Arctic Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02195N02195,"Petersburg Census Area, AK",716,844,1123,1408,1728,,AK,Alaska,3815,1994,Petersburg Census Area,Petersburg Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",843,849,1101,1380,1500,,AK,Alaska,5559,2992,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02220N02220,"Sitka City and Borough, AK",963,1074,1344,1868,2367,,AK,Alaska,8881,4102,Sitka City and Borough,Sitka City and Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02230N02230,"Skagway Municipality, AK",1048,1183,1467,2134,2258,,AK,Alaska,968,636,Skagway Municipality,Skagway Municipality,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",930,1098,1301,1892,2291,,AK,Alaska,7029,3915,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
